drone_x,drone_y,drone_z,anchor1_azimuth_error,anchor1_elevation_error,anchor2_azimuth_error,anchor2_elevation_error
1.8,-0.6,0.73,2.2546511770779887,3.859919358205076,11.83067092651757,-1.8788178217137386
1.8,-0.6,1.13,-2.0450328565354425,-3.6403735485655204,24.442538593482,7.673082467327703
2.4,-4.2,0.33,1.0147720925740487,-12.45463411706703,5.422222222222217,7.067184654518485
2.4,-4.2,0.73,6.275825922349384,0.3162182155846551,-1.7224958949096845,0.8501975137833142
2.4,-4.2,1.13,6.257156256025695,-3.8646497687366264,2.1222222222222342,-0.5428840928176726
2.4,-3.6,0.33,6.099333935246193,17.35771679873298,1.2414414414414523,-0.960722131385694
2.4,-3.6,0.73,1.7937826962584325,1.7362673170827065,-4.2127659574468055,-8.695170706496555
2.4,-3.6,1.13,-2.7378394507643975,-6.570690283932777,-1.9093799682034955,1.3342837108360754
2.4,-3.0,0.33,1.5274318585558149,-4.561091108242721,-0.19817073170730737,-5.0108112665000135
2.4,-3.0,0.73,11.004252698534543,8.9617726736505,-1.3481595092024463,1.4108430421631226
2.4,-3.0,1.13,12.976922348049811,14.047764937254442,-0.4038772213247057,-7.751233978441292
2.4,-2.4,0.33,-0.9760765550239228,-3.130957956539447,2.39899833055091,-1.3879518705747955
2.4,-2.4,0.73,7.75540765391014,1.7937428801662918,-2.129353233830841,-4.74699543979591
2.4,-2.4,1.13,-1.4140127388535007,4.485775250724856,-2.8322784810126507,-2.6971905383415162
2.4,-1.8,0.33,0.4531792772328913,2.5559309682300295,0.04421768707481988,0.22899386989138293
2.4,-1.8,0.73,-1.1922763625889274,-11.762004198060765,-2.7984375000000057,-4.987212200427251
2.4,-1.8,1.13,9.889717738771367,-3.4195756999938283,-1.5535999999999888,-8.105911149024877
2.4,-1.2,0.33,5.419998656809071,-4.239588278398514,2.4399999999999977,-5.2349487511738175
2.4,-1.2,0.73,-9.505235226157765,-6.653441877112243,-2.9351432880844754,-6.1268790525855366
2.4,-1.2,1.13,-2.8481727741741736,-3.8342749879860776,-0.47027027027027657,-4.738832851690887
2.4,-0.6,0.33,5.369838821876755,15.494335287550939,2.4120603015075517,-5.117179456356922
2.4,-0.6,0.73,12.602854276434442,4.2360286421419175,-4.370206489675525,-4.979341146123772
